dateCreated,hours,sessions,quotes,transactions,sessionConversion,quoteConversion
09/10/2024,13,609,390,56,0.091954023,0.143589744
09/10/2024,12,586,374,67,0.114334471,0.179144385
09/10/2024,11,576,345,64,0.111111111,0.185507246
09/10/2024,10,637,385,51,0.080062794,0.132467532
09/10/2024,9,491,290,34,0.069246436,0.117241379
09/10/2024,8,344,181,23,0.066860465,0.127071823
09/10/2024,7,228,103,6,0.026315789,0.058252427
09/10/2024,6,164,78,3,0.018292683,0.038461538
09/10/2024,5,111,23,2,0.018018018,0.086956522
09/10/2024,4,100,24,0,0,0
09/10/2024,3,99,25,2,0.02020202,0.08
09/10/2024,2,109,22,2,0.018348624,0.090909091
09/10/2024,1,115,30,1,0.008695652,0.033333333
09/10/2024,0,529,66,0,0,0
10/10/2024,23,351,97,8,0.022792023,0.082474227
10/10/2024,22,336,123,10,0.029761905,0.081300813
10/10/2024,21,426,206,11,0.025821596,0.053398058
10/10/2024,20,458,202,18,0.03930131,0.089108911
10/10/2024,19,463,212,29,0.062634989,0.136792453
10/10/2024,18,418,186,11,0.026315789,0.059139785
10/10/2024,17,517,233,26,0.050290135,0.111587983
10/10/2024,16,589,323,39,0.066213922,0.120743034
10/10/2024,15,576,325,50,0.086805556,0.153846154
10/10/2024,14,601,316,38,0.063227953,0.120253165
10/10/2024,13,613,308,41,0.066884176,0.133116883
10/10/2024,12,570,320,28,0.049122807,0.0875
10/10/2024,11,626,382,53,0.084664537,0.138743455
10/10/2024,10,607,368,35,0.057660626,0.095108696
10/10/2024,9,524,268,28,0.053435115,0.104477612
10/10/2024,8,460,177,18,0.039130435,0.101694915
10/10/2024,7,290,91,4,0.013793103,0.043956044
10/10/2024,6,211,51,2,0.009478673,0.039215686
10/10/2024,5,170,36,4,0.023529412,0.111111111
10/10/2024,4,146,28,0,0,0
10/10/2024,3,142,17,1,0.007042254,0.058823529
10/10/2024,2,113,26,1,0.008849558,0.038461538
10/10/2024,1,108,17,0,0,0
10/10/2024,0,619,49,6,0.009693053,0.12244898
11/10/2024,23,200,66,2,0.01,0.03030303
11/10/2024,22,248,106,4,0.016129032,0.037735849
11/10/2024,21,350,133,12,0.034285714,0.090225564
11/10/2024,20,287,149,8,0.027874564,0.053691275
11/10/2024,19,321,168,18,0.056074766,0.107142857
11/10/2024,18,396,209,20,0.050505051,0.09569378
11/10/2024,17,409,215,20,0.048899756,0.093023256
11/10/2024,16,460,288,24,0.052173913,0.083333333
11/10/2024,15,463,280,31,0.066954644,0.110714286
11/10/2024,14,465,277,43,0.092473118,0.155234657
11/10/2024,13,516,310,36,0.069767442,0.116129032
11/10/2024,12,486,276,35,0.072016461,0.126811594
11/10/2024,11,526,319,56,0.106463878,0.175548589
11/10/2024,10,620,332,49,0.079032258,0.147590361
11/10/2024,9,434,234,27,0.062211982,0.115384615
11/10/2024,8,371,155,18,0.04851752,0.116129032
11/10/2024,7,241,98,8,0.033195021,0.081632653
11/10/2024,6,140,49,2,0.014285714,0.040816327
11/10/2024,5,121,24,1,0.008264463,0.041666667
11/10/2024,4,138,22,0,0,0
11/10/2024,3,140,29,1,0.007142857,0.034482759
11/10/2024,2,150,21,1,0.006666667,0.047619048
11/10/2024,1,238,34,4,0.016806723,0.117647059
11/10/2024,0,1050,58,2,0.001904762,0.034482759
12/10/2024,23,185,66,4,0.021621622,0.060606061
12/10/2024,22,266,108,6,0.022556391,0.055555556
12/10/2024,21,278,131,5,0.017985612,0.038167939
12/10/2024,20,304,127,2,0.006578947,0.015748031
12/10/2024,19,317,130,10,0.031545741,0.076923077
12/10/2024,18,327,160,7,0.021406728,0.04375
12/10/2024,17,1053,219,17,0.016144349,0.077625571
12/10/2024,16,505,221,14,0.027722772,0.063348416
12/10/2024,15,412,215,18,0.04368932,0.08372093
12/10/2024,14,406,248,23,0.056650246,0.092741935
12/10/2024,13,428,284,31,0.072429907,0.10915493
12/10/2024,12,424,268,18,0.04245283,0.067164179
12/10/2024,11,431,276,20,0.046403712,0.072463768
12/10/2024,10,408,235,23,0.056372549,0.09787234
12/10/2024,9,381,205,16,0.041994751,0.07804878
12/10/2024,8,248,91,5,0.02016129,0.054945055
12/10/2024,7,189,58,1,0.005291005,0.017241379
12/10/2024,6,122,30,1,0.008196721,0.033333333
12/10/2024,5,148,29,0,0,0
12/10/2024,4,125,12,0,0,0
12/10/2024,3,115,26,0,0,0
12/10/2024,2,113,17,0,0,0
12/10/2024,1,259,26,0,0,0
12/10/2024,0,946,32,0,0,0
13/10/2024,23,246,111,9,0.036585366,0.081081081
13/10/2024,22,276,148,12,0.043478261,0.081081081
13/10/2024,21,384,216,14,0.036458333,0.064814815
13/10/2024,20,435,213,26,0.059770115,0.122065728
13/10/2024,19,455,226,20,0.043956044,0.088495575
13/10/2024,18,440,222,17,0.038636364,0.076576577
13/10/2024,17,436,231,19,0.043577982,0.082251082
13/10/2024,16,403,263,25,0.062034739,0.095057034
13/10/2024,15,423,240,26,0.061465721,0.108333333
13/10/2024,14,415,275,30,0.072289157,0.109090909
13/10/2024,13,384,202,14,0.036458333,0.069306931
13/10/2024,12,399,228,24,0.060150376,0.105263158
13/10/2024,11,394,211,14,0.035532995,0.066350711
13/10/2024,10,411,209,14,0.03406326,0.066985646
13/10/2024,9,438,161,9,0.020547945,0.055900621
13/10/2024,8,357,125,10,0.028011204,0.08
13/10/2024,7,317,66,1,0.003154574,0.015151515
13/10/2024,6,181,37,0,0,0
13/10/2024,5,180,32,0,0,0
13/10/2024,4,207,17,0,0,0
13/10/2024,3,219,14,0,0,0
13/10/2024,2,296,8,1,0.003378378,0.125
13/10/2024,1,431,37,1,0.002320186,0.027027027
13/10/2024,0,884,42,0,0,0
14/10/2024,23,266,141,3,0.011278195,0.021276596
14/10/2024,22,419,188,23,0.054892601,0.122340426
14/10/2024,21,508,290,22,0.043307087,0.075862069
14/10/2024,20,528,287,18,0.034090909,0.06271777
14/10/2024,19,522,278,28,0.053639847,0.100719424
14/10/2024,18,569,300,35,0.061511424,0.116666667
14/10/2024,17,610,360,42,0.068852459,0.116666667
14/10/2024,16,667,409,63,0.094452774,0.15403423
14/10/2024,15,743,474,58,0.078061911,0.122362869
14/10/2024,14,680,452,69,0.101470588,0.152654867
14/10/2024,13,697,478,56,0.080344333,0.117154812
14/10/2024,12,658,422,61,0.092705167,0.144549763
14/10/2024,11,733,446,67,0.091405184,0.150224215
14/10/2024,10,735,374,56,0.076190476,0.14973262
14/10/2024,9,676,327,46,0.068047337,0.140672783
14/10/2024,8,536,183,19,0.035447761,0.103825137
14/10/2024,7,372,98,10,0.02688172,0.102040816
14/10/2024,6,239,53,3,0.012552301,0.056603774
14/10/2024,5,193,24,1,0.005181347,0.041666667
14/10/2024,4,208,17,0,0,0
14/10/2024,3,221,16,1,0.004524887,0.0625
14/10/2024,2,253,20,1,0.003952569,0.05
14/10/2024,1,364,24,3,0.008241758,0.125
14/10/2024,0,792,57,1,0.001262626,0.01754386
15/10/2024,23,304,121,11,0.036184211,0.090909091
15/10/2024,22,438,198,19,0.043378995,0.095959596
15/10/2024,21,466,272,19,0.040772532,0.069852941
15/10/2024,20,495,275,23,0.046464646,0.083636364
15/10/2024,19,744,315,25,0.033602151,0.079365079
15/10/2024,18,544,275,32,0.058823529,0.116363636
15/10/2024,17,534,299,39,0.073033708,0.130434783
15/10/2024,16,597,328,44,0.073701843,0.134146341
15/10/2024,15,590,345,49,0.083050847,0.142028986
15/10/2024,14,631,387,67,0.106180666,0.173126615
15/10/2024,13,650,415,58,0.089230769,0.139759036
15/10/2024,12,663,387,55,0.082956259,0.142118863
15/10/2024,11,734,471,61,0.083106267,0.129511677
15/10/2024,10,692,394,58,0.083815029,0.147208122
15/10/2024,9,730,338,48,0.065753425,0.142011834
15/10/2024,8,524,209,23,0.04389313,0.110047847
15/10/2024,7,384,107,8,0.020833333,0.074766355
15/10/2024,6,269,52,2,0.007434944,0.038461538
15/10/2024,5,246,35,1,0.004065041,0.028571429
15/10/2024,4,202,26,2,0.00990099,0.076923077
15/10/2024,3,199,21,1,0.005025126,0.047619048
15/10/2024,2,1090,890,1,0.000917431,0.001123596
15/10/2024,1,408,38,1,0.00245098,0.026315789
15/10/2024,0,748,66,3,0.004010695,0.045454545
16/10/2024,23,226,100,12,0.053097345,0.12
16/10/2024,22,349,199,15,0.042979943,0.075376884
16/10/2024,21,468,249,17,0.036324786,0.068273092
16/10/2024,20,506,263,15,0.029644269,0.057034221
16/10/2024,19,478,232,24,0.050209205,0.103448276
16/10/2024,18,456,266,25,0.054824561,0.093984962
16/10/2024,17,558,290,38,0.068100358,0.131034483
16/10/2024,16,576,337,41,0.071180556,0.121661721
16/10/2024,15,613,347,48,0.078303426,0.13832853
16/10/2024,14,631,400,44,0.069730586,0.11
16/10/2024,13,643,373,59,0.091757387,0.158176944
16/10/2024,12,608,344,44,0.072368421,0.127906977
16/10/2024,11,783,413,59,0.075351213,0.142857143
16/10/2024,10,776,384,55,0.070876289,0.143229167
16/10/2024,9,665,329,34,0.05112782,0.103343465
16/10/2024,8,497,191,19,0.038229376,0.09947644
16/10/2024,7,391,89,5,0.012787724,0.056179775
16/10/2024,6,236,48,5,0.021186441,0.104166667
16/10/2024,5,230,35,1,0.004347826,0.028571429
16/10/2024,4,214,27,0,0,0
16/10/2024,3,234,22,0,0,0
16/10/2024,2,203,23,1,0.004926108,0.043478261
16/10/2024,1,370,38,4,0.010810811,0.105263158
16/10/2024,0,669,63,4,0.005979073,0.063492063
17/10/2024,23,239,99,6,0.025104603,0.060606061
17/10/2024,22,325,158,13,0.04,0.082278481
17/10/2024,21,423,243,21,0.04964539,0.086419753
17/10/2024,20,441,226,27,0.06122449,0.119469027
17/10/2024,19,405,216,23,0.056790123,0.106481481
17/10/2024,18,427,243,35,0.081967213,0.144032922
17/10/2024,17,519,279,26,0.050096339,0.093189964
17/10/2024,16,532,280,45,0.084586466,0.160714286
17/10/2024,15,592,378,53,0.089527027,0.14021164
17/10/2024,14,596,360,48,0.080536913,0.133333333
17/10/2024,13,582,339,49,0.08419244,0.144542773
17/10/2024,12,585,356,50,0.085470085,0.140449438
17/10/2024,11,639,356,58,0.090766823,0.162921348
17/10/2024,10,695,347,46,0.06618705,0.132564841
17/10/2024,9,649,264,28,0.043143297,0.106060606
17/10/2024,8,502,188,14,0.027888446,0.074468085
17/10/2024,7,366,104,7,0.019125683,0.067307692
17/10/2024,6,245,77,1,0.004081633,0.012987013
17/10/2024,5,185,24,1,0.005405405,0.041666667
17/10/2024,4,194,33,1,0.005154639,0.03030303
17/10/2024,3,203,14,0,0,0
17/10/2024,2,316,34,1,0.003164557,0.029411765
17/10/2024,1,392,61,3,0.007653061,0.049180328
17/10/2024,0,725,48,6,0.008275862,0.125
18/10/2024,23,176,82,4,0.022727273,0.048780488
18/10/2024,22,284,113,8,0.028169014,0.07079646
18/10/2024,21,272,123,5,0.018382353,0.040650407
18/10/2024,20,310,158,10,0.032258065,0.063291139
18/10/2024,19,369,180,11,0.029810298,0.061111111
18/10/2024,18,342,186,14,0.040935673,0.075268817
18/10/2024,17,389,227,29,0.074550129,0.127753304
18/10/2024,16,452,270,38,0.084070796,0.140740741
18/10/2024,15,514,302,43,0.083657588,0.142384106
18/10/2024,14,475,289,33,0.069473684,0.114186851
18/10/2024,13,542,330,46,0.084870849,0.139393939
18/10/2024,12,515,326,46,0.089320388,0.141104294
18/10/2024,11,609,316,49,0.08045977,0.155063291
18/10/2024,10,623,304,39,0.062600321,0.128289474
18/10/2024,9,607,257,40,0.065897858,0.155642023
18/10/2024,8,436,173,19,0.043577982,0.10982659
18/10/2024,7,332,96,10,0.030120482,0.104166667
18/10/2024,6,227,56,5,0.022026432,0.089285714
18/10/2024,5,195,44,0,0,0
18/10/2024,4,159,15,0,0,0
18/10/2024,3,189,26,1,0.005291005,0.038461538
18/10/2024,2,325,21,2,0.006153846,0.095238095
18/10/2024,1,480,29,0,0,0
18/10/2024,0,691,47,4,0.005788712,0.085106383
19/10/2024,23,185,79,2,0.010810811,0.025316456
19/10/2024,22,240,103,4,0.016666667,0.038834951
19/10/2024,21,291,130,8,0.027491409,0.061538462
19/10/2024,20,296,151,3,0.010135135,0.01986755
19/10/2024,19,286,138,9,0.031468531,0.065217391
19/10/2024,18,308,155,14,0.045454545,0.090322581
19/10/2024,17,352,194,11,0.03125,0.056701031
19/10/2024,16,352,193,18,0.051136364,0.093264249
19/10/2024,15,328,169,13,0.039634146,0.076923077
19/10/2024,14,363,210,25,0.068870523,0.119047619
19/10/2024,13,420,247,23,0.054761905,0.093117409
19/10/2024,12,366,208,20,0.054644809,0.096153846
19/10/2024,11,518,288,22,0.042471042,0.076388889
19/10/2024,10,567,253,10,0.017636684,0.039525692
19/10/2024,9,531,176,16,0.030131827,0.090909091
19/10/2024,8,419,121,5,0.011933174,0.041322314
19/10/2024,7,325,102,2,0.006153846,0.019607843
19/10/2024,6,196,33,0,0,0
19/10/2024,5,147,20,1,0.006802721,0.05
19/10/2024,4,171,24,0,0,0
19/10/2024,3,196,15,0,0,0
19/10/2024,2,244,21,2,0.008196721,0.095238095
19/10/2024,1,373,24,1,0.002680965,0.041666667
19/10/2024,0,497,58,1,0.002012072,0.017241379
20/10/2024,23,233,136,9,0.038626609,0.066176471
20/10/2024,22,289,173,6,0.020761246,0.034682081
20/10/2024,21,354,224,15,0.042372881,0.066964286
20/10/2024,20,397,224,24,0.060453401,0.107142857
20/10/2024,19,427,261,30,0.070257611,0.114942529
20/10/2024,18,399,255,21,0.052631579,0.082352941
20/10/2024,17,392,270,21,0.053571429,0.077777778
20/10/2024,16,423,255,12,0.028368794,0.047058824
20/10/2024,15,458,303,31,0.06768559,0.102310231
20/10/2024,14,411,273,24,0.058394161,0.087912088
20/10/2024,13,454,307,21,0.046255507,0.068403909
20/10/2024,12,512,289,25,0.048828125,0.08650519
20/10/2024,11,547,285,16,0.029250457,0.056140351
20/10/2024,10,543,211,15,0.027624309,0.071090047
20/10/2024,9,454,161,6,0.013215859,0.037267081
20/10/2024,8,299,92,1,0.003344482,0.010869565
20/10/2024,7,229,56,4,0.017467249,0.071428571
20/10/2024,6,174,31,1,0.005747126,0.032258065
20/10/2024,5,134,8,0,0,0
20/10/2024,4,163,18,0,0,0
20/10/2024,3,194,14,0,0,0
20/10/2024,2,241,26,0,0,0
20/10/2024,1,373,35,0,0,0
20/10/2024,0,451,37,2,0.00443459,0.054054054
21/10/2024,23,233,122,14,0.060085837,0.114754098
21/10/2024,22,365,206,17,0.046575342,0.082524272
21/10/2024,21,448,250,20,0.044642857,0.08
21/10/2024,20,461,288,21,0.045553145,0.072916667
21/10/2024,19,424,260,39,0.091981132,0.15
21/10/2024,18,531,269,37,0.069679849,0.137546468
21/10/2024,17,523,322,39,0.07456979,0.121118012
21/10/2024,16,581,355,36,0.061962134,0.101408451
21/10/2024,15,596,366,49,0.082214765,0.133879781
21/10/2024,14,627,398,45,0.071770335,0.113065327
21/10/2024,13,635,423,46,0.072440945,0.108747045
21/10/2024,12,653,384,59,0.090352221,0.153645833
21/10/2024,11,753,417,56,0.07436919,0.134292566
21/10/2024,10,782,422,45,0.057544757,0.106635071
21/10/2024,9,657,297,32,0.04870624,0.107744108
21/10/2024,8,456,162,18,0.039473684,0.111111111
21/10/2024,7,331,100,4,0.012084592,0.04
21/10/2024,6,189,42,2,0.010582011,0.047619048
21/10/2024,5,141,28,2,0.014184397,0.071428571
21/10/2024,4,156,19,1,0.006410256,0.052631579
21/10/2024,3,200,23,0,0,0
21/10/2024,2,219,25,2,0.00913242,0.08
21/10/2024,1,363,34,0,0,0
21/10/2024,0,425,55,3,0.007058824,0.054545455
22/10/2024,23,213,115,11,0.051643192,0.095652174
22/10/2024,22,293,178,14,0.04778157,0.078651685
22/10/2024,21,396,193,21,0.053030303,0.10880829
22/10/2024,20,446,257,12,0.02690583,0.046692607
22/10/2024,19,425,249,19,0.044705882,0.076305221
22/10/2024,18,452,253,28,0.061946903,0.110671937
22/10/2024,17,491,282,29,0.059063136,0.102836879
22/10/2024,16,542,353,45,0.08302583,0.127478754
22/10/2024,15,579,365,48,0.082901554,0.131506849
22/10/2024,14,655,412,52,0.079389313,0.126213592
22/10/2024,13,665,381,61,0.091729323,0.160104987
22/10/2024,12,701,398,66,0.094151213,0.165829146
22/10/2024,11,979,420,57,0.058222676,0.135714286
22/10/2024,10,705,358,61,0.086524823,0.170391061
22/10/2024,9,640,282,37,0.0578125,0.131205674
22/10/2024,8,492,190,20,0.040650407,0.105263158
22/10/2024,7,330,118,8,0.024242424,0.06779661
22/10/2024,6,220,41,3,0.013636364,0.073170732
22/10/2024,5,189,26,1,0.005291005,0.038461538
22/10/2024,4,185,24,0,0,0
22/10/2024,3,214,23,0,0,0
22/10/2024,2,1153,896,0,0,0
22/10/2024,1,328,46,0,0,0
22/10/2024,0,403,72,4,0.009925558,0.055555556
23/10/2024,23,298,104,9,0.030201342,0.086538462
23/10/2024,22,371,162,13,0.035040431,0.080246914
23/10/2024,21,442,217,13,0.029411765,0.059907834
23/10/2024,20,478,248,23,0.048117155,0.092741935
23/10/2024,19,505,281,18,0.035643564,0.06405694
23/10/2024,18,493,272,24,0.048681542,0.088235294
23/10/2024,17,535,298,34,0.063551402,0.11409396
